,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_EV,split1_test_EV,split2_test_EV,split3_test_EV,split4_test_EV,mean_test_EV,std_test_EV,rank_test_EV
22,0.7335095405578613,0.057430488060585975,0.04957194328308105,0.0018540443703649267,7,10,100,"{'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 100}",0.012906450027915128,0.017263149699019653,0.013392624627492467,0.02575835031601903,0.019756419969071737,0.01781526365568664,0.004708038675422991,20,0.013392684852165493,0.01747382537846842,0.013438735203459617,0.025799187383406585,0.019963620357697054,0.018013474736389864,0.004625963314116786,20
23,1.3304970264434814,0.09404178726468092,0.08635106086730956,0.006526478463038968,7,10,200,"{'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 200}",0.013199617558263821,0.017181580523283224,0.014631433497986235,0.026023368129928448,0.021010763897265194,0.018409171425702767,0.00464041278899572,13,0.013662059705269347,0.017377599401781962,0.014647351856367674,0.026055009385679617,0.021235412593029412,0.018595302608635747,0.004561320607775727,13
24,0.6131721019744873,0.13695381380444202,0.040042686462402347,0.007227472500604578,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-0.013625467456747975,-0.0029368169853869475,-0.012504845417724786,0.0069567453673142765,0.000832890892923932,-0.004255853336246891,0.007863912616625479,36,-0.012917450362367022,-0.0028486593960415085,-0.012504525596981786,0.007031835728621982,0.001212576077196048,-0.0040056083464596595,0.007772480112336709,36
25,0.9984198570251465,0.05832297876674513,0.10094227790832519,0.04447609656448503,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-0.00913416280241397,-0.00325110973146292,-0.01286918032284956,0.010576827179931692,0.0025325837208385327,-0.0024293541708352634,0.00834765827386243,34,-0.00868337802504926,-0.003124249895910758,-0.012869177071056725,0.010673600046471332,0.0028621111439287583,-0.0022285735118672888,0.008343686973739658,34
26,1.8947760581970214,0.0918312418285728,0.15813379287719725,0.018912862776327987,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",-0.00941699027217835,-0.003911133585122073,-0.00913691068511624,0.007034377837395467,0.0014747407967614645,-0.002791480479301846,0.0063272621370190135,35,-0.008925085925572285,-0.0037743857605867515,-0.009135813703679219,0.007117201027714515,0.0017480046886531042,-0.002594318535615679,0.0062839303863371325,35
27,0.4984238624572754,0.028671008522344173,0.03537969589233399,0.0016237450123779851,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-0.005484108939371568,-0.0020579422185900142,-0.009838575964364882,0.004099089945051704,0.002682993739824502,-0.002120043393910521,0.005150621890053659,33,-0.004838309273083707,-0.0018901240198130331,-0.009823782254179347,0.0042402123558423765,0.002975103027978876,-0.0018677175114342015,0.005155282537524448,33
28,0.8269281387329102,0.041380555882131326,0.05996556282043457,0.002096807191360297,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-0.006668974351706991,-0.004767703293446557,-0.007388272964213405,0.009444230881673454,0.0028831596108103152,-0.0012998035190651296,0.006494056328296281,32,-0.006098426104921728,-0.004624303721787459,-0.007385080529582311,0.009535211633560192,0.003088435167941439,-0.0010971243875820518,0.0064430775848773525,32
29,1.7544144630432128,0.12205175564024755,0.12412896156311035,0.00444271385248405,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",-0.00631760590067354,-0.0017081587976990331,-0.007811509679032325,0.010491456995694537,0.0035570430127238595,-0.00035802770102473904,0.006722251427314503,30,-0.005831276141196939,-0.0015800068270310774,-0.007808646090827764,0.01058973184099865,0.0037709023567932265,-0.00017213374828797806,0.006688793258131409,30
30,0.4522817134857178,0.032380381962571224,0.04397492408752442,0.015130790727740859,10,7,50,"{'max_depth': 10, 'min_samples_split': 7, 'n_estimators': 50}",-0.005364006992432335,-0.0024465789377967617,-0.009846474409080486,0.012309564588193878,0.00022335898417069622,-0.0010249143410771724,0.0074572665981278005,31,-0.00484499259587956,-0.002338525850813511,-0.009836561881430894,0.012387858717323064,0.0003829918807786159,-0.0008499318640354547,0.007425817472436158,31
31,0.9383100509643555,0.03253184636257541,0.08615050315856934,0.020920001058845998,10,7,100,"{'max_depth': 10, 'min_samples_split': 7, 'n_estimators': 100}",-0.006085258269187044,-0.0014126443411883738,-0.006642467463171764,0.010871821260607595,0.004483673886011341,0.00024272947841870001,0.006650743945528382,29,-0.005534767542305641,-0.0012711842559449682,-0.006641758807726772,0.010969122407667564,0.00469005920830412,0.000441998169870747,0.006598660263275694,29
32,1.6237311840057373,0.05130250598126429,0.12156548500061035,0.004095737744856676,10,7,200,"{'max_depth': 10, 'min_samples_split': 7, 'n_estimators': 200}",-0.004855924271060186,-0.0007908865516692565,-0.006592132176482801,0.011284753823745053,0.004643460122921272,0.0007375820028622408,0.006539977722798073,27,-0.004327529399733576,-0.0006813619165222384,-0.006588100107724371,0.011379025647205054,0.004836658048193443,0.0009234657579568165,0.006499434335228811,27
33,0.3913759708404541,0.006647304968183895,0.03098263740539551,0.0006320327975046474,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",-0.0027013238230748637,0.0019633909174318065,-0.006419641173430302,0.008096371910901512,0.0005300756931563289,0.00029375823688147665,0.004853302695342405,28,-0.0022892270714029994,0.0020661394827520274,-0.0064176249138359065,0.008195128378250871,0.0007548358318224535,0.00046182992298705666,0.00484493403523603,28
34,0.7881754875183106,0.010545086682096022,0.06316452026367188,0.005378672624918907,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",-0.003973347672604488,-0.0009552962958783162,-0.0065373938854769165,0.013568156075659976,0.0042243833771689054,0.0012650940975243794,0.007118813915176641,26,-0.0034167018271018534,-0.0008407034429487314,-0.00652014119692268,0.013617995637601576,0.004455888384795159,0.001459058672777236,0.007064907292166093,26
35,1.6225536346435547,0.08649542065724924,0.11799325942993164,0.0026998327022794656,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",-0.0003969246426531736,0.0010813658206914045,-0.00793352265643521,0.012698020497432183,0.004989212987558389,0.0020874281863499933,0.006761976758037273,25,0.00012484958338598862,0.001209004626591903,-0.00793091728589057,0.012778741820327899,0.005184848973096456,0.0022731026343498096,0.006763564517706298,25
36,0.7940411567687988,0.02114665660757024,0.08855013847351074,0.005532102300922962,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-0.2917829853581302,-0.2926801436220612,-0.3317267249800706,-0.22842534690864946,-0.2869454812719108,-0.2863120922895594,0.03311987363490202,48,-0.2906109347667154,-0.2926567194090428,-0.3316179945430393,-0.22813509964622436,-0.28693798383416524,-0.2859916804953539,0.03315473698320903,48
